year,circuit,driver,lap_number,lap_time_seconds,compound,tyre_life,is_pit_lap,track_status,lap_time_delta,tyre_age_normalised,relative_position,laps_remaining,compound_encoded,pit_in_next_3_laps
2019,Canada,ALB,1,126.344,MEDIUM,1.0,1,12.0,47.903999999999996,0.03571428571428571,1.0,69,1,0
2019,Canada,ALB,2,82.732,HARD,1.0,0,1.0,4.292000000000002,0.02631578947368421,1.0,68,2,0
2019,Canada,ALB,3,79.835,HARD,2.0,0,1.0,1.394999999999996,0.05263157894736842,1.0,67,2,0
2019,Canada,ALB,4,79.464,HARD,3.0,0,1.0,1.024000000000001,0.07894736842105263,1.0,66,2,0
2019,Canada,ALB,5,79.1,HARD,4.0,0,1.0,0.6599999999999966,0.10526315789473684,1.0,65,2,0
2019,Canada,ALB,6,78.777,HARD,5.0,0,1.0,0.3370000000000033,0.13157894736842105,1.0,64,2,0
2019,Canada,ALB,7,78.661,HARD,6.0,0,1.0,0.22100000000000364,0.15789473684210525,1.0,63,2,0
2019,Canada,ALB,8,78.535,HARD,7.0,0,12.0,0.09499999999999886,0.18421052631578946,1.0,62,2,0
2019,Canada,ALB,9,80.542,HARD,8.0,0,2.0,2.102000000000004,0.21052631578947367,0.9,61,2,0
2019,Canada,ALB,10,79.286,HARD,9.0,0,2.0,0.8460000000000036,0.23684210526315788,0.9,60,2,0
2019,Canada,ALB,11,78.538,HARD,10.0,0,21.0,0.09799999999999898,0.2631578947368421,0.9,59,2,0
2019,Canada,ALB,12,78.086,HARD,11.0,0,12.0,-0.3539999999999992,0.2894736842105263,0.9,58,2,0
2019,Canada,ALB,13,78.648,HARD,12.0,0,21.0,0.2079999999999984,0.3157894736842105,0.9,57,2,0
2019,Canada,ALB,14,79.782,HARD,13.0,0,1.0,1.3419999999999987,0.34210526315789475,0.9,56,2,0
2019,Canada,ALB,15,80.417,HARD,14.0,0,1.0,1.9770000000000039,0.3684210526315789,0.9,55,2,0
2019,Canada,ALB,16,79.632,HARD,15.0,0,1.0,1.1920000000000073,0.39473684210526316,0.9,54,2,0
2019,Canada,ALB,17,78.44,HARD,16.0,0,1.0,0.0,0.42105263157894735,0.9,53,2,0
