year,circuit,driver,lap_number,lap_time_seconds,compound,tyre_life,is_pit_lap,track_status
2019,Canada,GAS,1.0,85.163,SOFT,4.0,0,12
2019,Canada,GAS,2.0,78.634,SOFT,5.0,0,21
2019,Canada,GAS,3.0,77.954,SOFT,6.0,0,1
2019,Canada,GAS,4.0,77.767,SOFT,7.0,0,1
2019,Canada,GAS,5.0,78.045,SOFT,8.0,0,1
2019,Canada,GAS,6.0,78.347,SOFT,9.0,0,1
2019,Canada,GAS,7.0,93.794,SOFT,10.0,1,1
2019,Canada,GAS,8.0,80.128,HARD,1.0,0,1
2019,Canada,GAS,9.0,77.218,HARD,2.0,0,12
2019,Canada,GAS,10.0,78.694,HARD,3.0,0,2
2019,Canada,GAS,11.0,79.422,HARD,4.0,0,21
2019,Canada,GAS,12.0,78.148,HARD,5.0,0,12
2019,Canada,GAS,13.0,78.098,HARD,6.0,0,21
2019,Canada,GAS,14.0,77.439,HARD,7.0,0,1
2019,Canada,GAS,15.0,78.164,HARD,8.0,0,1
2019,Canada,GAS,16.0,77.847,HARD,9.0,0,1
2019,Canada,GAS,17.0,78.019,HARD,10.0,0,1
2019,Canada,GAS,18.0,78.057,HARD,11.0,0,1
2019,Canada,GAS,19.0,77.483,HARD,12.0,0,1
2019,Canada,GAS,20.0,77.879,HARD,13.0,0,1
2019,Canada,GAS,21.0,77.947,HARD,14.0,0,1
2019,Canada,GAS,22.0,77.734,HARD,15.0,0,1
2019,Canada,GAS,23.0,77.578,HARD,16.0,0,1
2019,Canada,GAS,24.0,77.474,HARD,17.0,0,1
2019,Canada,GAS,25.0,77.259,HARD,18.0,0,1
2019,Canada,GAS,26.0,77.546,HARD,19.0,0,1
2019,Canada,GAS,27.0,77.244,HARD,20.0,0,1
2019,Canada,GAS,28.0,77.477,HARD,21.0,0,1
2019,Canada,GAS,29.0,76.878,HARD,22.0,0,1
2019,Canada,GAS,30.0,77.296,HARD,23.0,0,12
2019,Canada,GAS,31.0,77.514,HARD,24.0,0,21
2019,Canada,GAS,32.0,76.955,HARD,25.0,0,1
2019,Canada,GAS,33.0,76.817,HARD,26.0,0,1
2019,Canada,GAS,34.0,76.569,HARD,27.0,0,1
2019,Canada,GAS,35.0,76.792,HARD,28.0,0,1
2019,Canada,GAS,36.0,76.869,HARD,29.0,0,1
2019,Canada,GAS,37.0,77.071,HARD,30.0,0,1
2019,Canada,GAS,38.0,76.94,HARD,31.0,0,1
2019,Canada,GAS,39.0,76.991,HARD,32.0,0,1
2019,Canada,GAS,40.0,77.016,HARD,33.0,0,1
2019,Canada,GAS,41.0,77.283,HARD,34.0,0,1
2019,Canada,GAS,42.0,76.674,HARD,35.0,0,1
2019,Canada,GAS,43.0,76.367,HARD,36.0,0,1
2019,Canada,GAS,44.0,76.981,HARD,37.0,0,1
2019,Canada,GAS,45.0,76.926,HARD,38.0,0,1
2019,Canada,GAS,46.0,76.266,HARD,39.0,0,1
2019,Canada,GAS,47.0,76.622,HARD,40.0,0,1
2019,Canada,GAS,48.0,76.439,HARD,41.0,0,1
2019,Canada,GAS,49.0,76.971,HARD,42.0,0,1
2019,Canada,GAS,50.0,76.318,HARD,43.0,0,1
2019,Canada,GAS,51.0,76.157,HARD,44.0,0,1
2019,Canada,GAS,52.0,76.281,HARD,45.0,0,1
2019,Canada,GAS,53.0,77.33,HARD,46.0,0,1
2019,Canada,GAS,54.0,76.292,HARD,47.0,0,1
2019,Canada,GAS,55.0,76.359,HARD,48.0,0,1
2019,Canada,GAS,56.0,76.321,HARD,49.0,0,1
2019,Canada,GAS,57.0,76.227,HARD,50.0,0,1
2019,Canada,GAS,58.0,76.834,HARD,51.0,0,1
2019,Canada,GAS,59.0,77.299,HARD,52.0,0,1
2019,Canada,GAS,60.0,77.242,HARD,53.0,0,1
2019,Canada,GAS,61.0,76.921,HARD,54.0,0,1
2019,Canada,GAS,62.0,76.645,HARD,55.0,0,1
2019,Canada,GAS,63.0,79.402,HARD,56.0,0,1
2019,Canada,GAS,64.0,76.948,HARD,57.0,0,1
2019,Canada,GAS,65.0,76.773,HARD,58.0,0,1
2019,Canada,GAS,66.0,77.02,HARD,59.0,0,1
2019,Canada,GAS,67.0,78.087,HARD,60.0,0,1
2019,Canada,GAS,68.0,78.239,HARD,61.0,0,1
2019,Canada,GAS,69.0,77.134,HARD,62.0,0,1
2019,Canada,PER,1.0,90.218,MEDIUM,1.0,0,12
2019,Canada,PER,2.0,79.939,MEDIUM,2.0,0,1
2019,Canada,PER,3.0,79.169,MEDIUM,3.0,0,1
2019,Canada,PER,4.0,78.883,MEDIUM,4.0,0,1
2019,Canada,PER,5.0,78.843,MEDIUM,5.0,0,1
2019,Canada,PER,6.0,78.846,MEDIUM,6.0,0,1
2019,Canada,PER,7.0,78.955,MEDIUM,7.0,0,1
2019,Canada,PER,8.0,79.125,MEDIUM,8.0,0,1
2019,Canada,PER,9.0,79.572,MEDIUM,9.0,0,12
2019,Canada,PER,10.0,80.242,MEDIUM,10.0,0,2
2019,Canada,PER,11.0,95.697,MEDIUM,11.0,1,21
2019,Canada,PER,12.0,79.74,HARD,1.0,0,12
2019,Canada,PER,13.0,78.455,HARD,2.0,0,21
2019,Canada,PER,14.0,78.761,HARD,3.0,0,1
2019,Canada,PER,15.0,78.298,HARD,4.0,0,1
2019,Canada,PER,16.0,78.377,HARD,5.0,0,1
2019,Canada,PER,17.0,77.719,HARD,6.0,0,1
2019,Canada,PER,18.0,77.989,HARD,7.0,0,1
2019,Canada,PER,19.0,77.71,HARD,8.0,0,1
2019,Canada,PER,20.0,77.776,HARD,9.0,0,1
2019,Canada,PER,21.0,77.556,HARD,10.0,0,1
2019,Canada,PER,22.0,77.318,HARD,11.0,0,1
2019,Canada,PER,23.0,77.543,HARD,12.0,0,1
2019,Canada,PER,24.0,78.462,HARD,13.0,0,1
2019,Canada,PER,25.0,77.998,HARD,14.0,0,1
2019,Canada,PER,26.0,77.869,HARD,15.0,0,1
2019,Canada,PER,27.0,77.748,HARD,16.0,0,1
2019,Canada,PER,28.0,78.009,HARD,17.0,0,1
2019,Canada,PER,29.0,77.196,HARD,18.0,0,1
2019,Canada,PER,30.0,78.246,HARD,19.0,0,12
2019,Canada,PER,31.0,78.494,HARD,20.0,0,21
2019,Canada,PER,32.0,78.342,HARD,21.0,0,1
2019,Canada,PER,33.0,77.685,HARD,22.0,0,1
2019,Canada,PER,34.0,77.269,HARD,23.0,0,1
2019,Canada,PER,35.0,77.015,HARD,24.0,0,1
2019,Canada,PER,36.0,76.899,HARD,25.0,0,1
2019,Canada,PER,37.0,77.091,HARD,26.0,0,1
2019,Canada,PER,38.0,77.146,HARD,27.0,0,1
2019,Canada,PER,39.0,77.621,HARD,28.0,0,1
